,Clase de disolución,Año,Comunidad Autónoma,Número Sociedades
566,Voluntaria,2013,16 País Vasco,947
567,Voluntaria,2013,"17 Rioja, La",168
568,Voluntaria,2013,18 Ceuta,12
569,Voluntaria,2013,19 Melilla,9
570,Otras,2012,01 Andalucía,423
571,Otras,2012,02 Aragón,177
572,Otras,2012,"03 Asturias, Principado de",89
573,Otras,2012,"04 Balears, Illes",109
574,Otras,2012,05 Canarias,32
575,Otras,2012,06 Canarias,48
576,Otras,2012,07 Castilla y León,161
577,Otras,2012,08 Castilla-La Mancha,173
578,Otras,2012,09 Cataluña,1169
579,Otras,2012,10 Comunitat Valenciana,651
580,Otras,2012,11 Extremadura,71
581,Otras,2012,12 Galicia,327
582,Otras,2012,"13 Madrid, Comunidad de",606
583,Otras,2012,"14 Murcia, Región de",125
584,Otras,2012,"15 Navarra, Comunidad Foral de",103
585,Otras,2012,16 País Vasco,428
586,Otras,2012,"17 Rioja, La",7
587,Otras,2012,18 Ceuta,1
588,Otras,2012,19 Melilla,1
589,Por fusión,2012,01 Andalucía,193
590,Por fusión,2012,02 Aragón,61
591,Por fusión,2012,"03 Asturias, Principado de",53
592,Por fusión,2012,"04 Balears, Illes",98
593,Por fusión,2012,05 Canarias,78
594,Por fusión,2012,06 Canarias,21
595,Por fusión,2012,07 Castilla y León,59
596,Por fusión,2012,08 Castilla-La Mancha,70
597,Por fusión,2012,09 Cataluña,215
598,Por fusión,2012,10 Comunitat Valenciana,143
599,Por fusión,2012,11 Extremadura,32
600,Por fusión,2012,12 Galicia,110
601,Por fusión,2012,"13 Madrid, Comunidad de",621
602,Por fusión,2012,"14 Murcia, Región de",19
603,Por fusión,2012,"15 Navarra, Comunidad Foral de",52
604,Por fusión,2012,16 País Vasco,189
605,Por fusión,2012,"17 Rioja, La",31
